indicator,County,Year,subgroup1,subgroup_cat1,subgroup2,subgroup_cat2,aaRate10K,aaRate10Kpy,count,cRate10K,cRate10Kpy,dailyMean
Hospitalizations,Albany,2000-2002,AgeGroup,35+,Total,,108.794,36.2647,1851,118.01,39.337,1.689
Hospitalizations,Albany,2000-2018,AgeGroup,35+,Total,,489.358,25.7557,8940,551.46,29.024,1.288
Hospitalizations,Albany,2001-2003,AgeGroup,35+,Total,,101.815,33.9382,1749,110.65,36.884,1.597
Hospitalizations,Albany,2002-2004,AgeGroup,35+,Total,,92.198,30.7325,1598,100.36,33.454,1.458
Hospitalizations,Albany,2003-2005,AgeGroup,35+,Total,,85.739,28.5798,1501,93.53,31.177,1.37
Hospitalizations,Albany,2004-2006,AgeGroup,35+,Total,,80.24,26.7467,1417,87.68,29.226,1.293
Hospitalizations,Albany,2005-2007,AgeGroup,35+,Total,,77.349,25.7829,1377,84.74,28.247,1.258
Hospitalizations,Albany,2006-2008,AgeGroup,35+,Total,,74.021,24.6736,1326,81.35,27.115,1.21
Hospitalizations,Albany,2007-2009,AgeGroup,35+,Total,,71.056,23.6855,1291,79.07,26.358,1.178
Hospitalizations,Albany,2008-2010,AgeGroup,35+,Total,,72.75,24.2501,1342,82.08,27.361,1.224
Hospitalizations,Albany,2009-2011,AgeGroup,35+,Total,,67.016,22.3386,1247,76.26,25.421,1.139
Hospitalizations,Albany,2010-2012,AgeGroup,35+,Total,,62.592,20.8641,1163,71.17,23.725,1.061
Hospitalizations,Albany,2011-2013,AgeGroup,35+,Total,,59.909,19.9695,1108,67.85,22.617,1.011
Hospitalizations,Albany,2012-2014,AgeGroup,35+,Total,,64.223,21.4078,1198,73.31,24.437,1.093
Hospitalizations,Albany,2013-2015,AgeGroup,35+,Total,,67.236,22.4121,1273,77.75,25.916,1.163
Hospitalizations,Albany,2014-2016,AgeGroup,35+,Total,,69.966,23.322,1338,81.54,27.18,1.221
Hospitalizations,Albany,2015-2017,AgeGroup,35+,Total,,71.554,23.8514,1385,84.22,28.072,1.264
Hospitalizations,Albany,2016-2018,AgeGroup,35+,Total,,71.5,23.8335,1391,84.44,28.146,1.269
Hospitalizations,Allegany,2000-2002,AgeGroup,35+,Total,,150.182,50.0605,416,166.15,55.382,0.38
Hospitalizations,Allegany,2000-2018,AgeGroup,35+,Total,,774.35,40.7553,2276,892.86,46.993,0.328
Hospitalizations,Allegany,2001-2003,AgeGroup,35+,Total,,143.882,47.9606,399,158.76,52.92,0.364
Hospitalizations,Allegany,2002-2004,AgeGroup,35+,Total,,148.335,49.445,414,163.89,54.631,0.378
Hospitalizations,Allegany,2003-2005,AgeGroup,35+,Total,,130.266,43.4221,366,144.28,48.094,0.334
Hospitalizations,Allegany,2004-2006,AgeGroup,35+,Total,,128.638,42.8794,362,142.13,47.377,0.33
Hospitalizations,Allegany,2005-2007,AgeGroup,35+,Total,,124.635,41.545,353,138.3,46.099,0.322
Hospitalizations,Allegany,2006-2008,AgeGroup,35+,Total,,145.187,48.3956,418,163.39,54.463,0.381
Hospitalizations,Allegany,2007-2009,AgeGroup,35+,Total,,141.084,47.0279,409,159.61,53.205,0.373
Hospitalizations,Allegany,2008-2010,AgeGroup,35+,Total,,146.131,48.7103,427,166.11,55.37,0.39
Hospitalizations,Allegany,2009-2011,AgeGroup,35+,Total,,120.558,40.1859,355,137.82,45.939,0.324
Hospitalizations,Allegany,2010-2012,AgeGroup,35+,Total,,119.675,39.8918,353,136.95,45.649,0.322
Hospitalizations,Allegany,2011-2013,AgeGroup,35+,Total,,104.695,34.8982,315,122.36,40.786,0.287
Hospitalizations,Allegany,2012-2014,AgeGroup,35+,Total,,110.725,36.9084,333,129.54,43.18,0.304
Hospitalizations,Allegany,2013-2015,AgeGroup,35+,Total,,102.428,34.1428,310,120.79,40.262,0.283
Hospitalizations,Allegany,2014-2016,AgeGroup,35+,Total,,99.639,33.2132,303,118.47,39.491,0.276
Hospitalizations,Allegany,2015-2017,AgeGroup,35+,Total,,99.332,33.1107,303,118.86,39.619,0.276
Hospitalizations,Allegany,2016-2018,AgeGroup,35+,Total,,95.151,31.7171,296,116.28,38.761,0.27
Hospitalizations,Bronx,2000-2002,AgeGroup,35+,Total,,132.328,44.1092,7549,126.15,42.051,6.888
Hospitalizations,Bronx,2000-2018,AgeGroup,35+,Total,,620.746,32.6708,40220,618.86,32.572,5.795
Hospitalizations,Bronx,2001-2003,AgeGroup,35+,Total,,136.871,45.6236,7897,129.88,43.293,7.212
Hospitalizations,Bronx,2002-2004,AgeGroup,35+,Total,,138.603,46.2009,8089,131.43,43.809,7.38
Hospitalizations,Bronx,2003-2005,AgeGroup,35+,Total,,132.513,44.1711,7807,125.74,41.915,7.123
Hospitalizations,Bronx,2004-2006,AgeGroup,35+,Total,,121.408,40.4694,7230,115.72,38.573,6.597
Hospitalizations,Bronx,2005-2007,AgeGroup,35+,Total,,112.157,37.3856,6767,107.59,35.862,6.18
Hospitalizations,Bronx,2006-2008,AgeGroup,35+,Total,,108.04,36.0133,6623,104.53,34.843,6.043
Hospitalizations,Bronx,2007-2009,AgeGroup,35+,Total,,103.81,34.6032,6470,101.2,33.735,5.903
Hospitalizations,Bronx,2008-2010,AgeGroup,35+,Total,,97.605,32.5349,6193,95.87,31.958,5.651
Hospitalizations,Bronx,2009-2011,AgeGroup,35+,Total,,93.07,31.0233,6011,92.04,30.681,5.489
Hospitalizations,Bronx,2010-2012,AgeGroup,35+,Total,,87.84,29.28,5806,87.85,29.284,5.297
Hospitalizations,Bronx,2011-2013,AgeGroup,35+,Total,,83.552,27.8508,5641,84.38,28.128,5.147
Hospitalizations,Bronx,2012-2014,AgeGroup,35+,Total,,76.677,25.5591,5308,78.46,26.152,4.843
Hospitalizations,Bronx,2013-2015,AgeGroup,35+,Total,,71.675,23.8918,5081,74.22,24.739,4.64
Hospitalizations,Bronx,2014-2016,AgeGroup,35+,Total,,69.576,23.1918,5043,72.85,24.283,4.601
Hospitalizations,Bronx,2015-2017,AgeGroup,35+,Total,,69.753,23.2511,5147,73.68,24.558,4.696
Hospitalizations,Bronx,2016-2018,AgeGroup,35+,Total,,70.295,23.4316,5283,75.2,25.065,4.82
Hospitalizations,Broome,2000-2002,AgeGroup,35+,Total,,148.715,49.5718,1877,170.67,56.891,1.713
Hospitalizations,Broome,2000-2018,AgeGroup,35+,Total,,739.702,38.9317,9831,897.79,47.252,1.417
Hospitalizations,Broome,2001-2003,AgeGroup,35+,Total,,136.618,45.5392,1740,157.78,52.593,1.589
Hospitalizations,Broome,2002-2004,AgeGroup,35+,Total,,128.715,42.9051,1657,149.94,49.979,1.512
Hospitalizations,Broome,2003-2005,AgeGroup,35+,Total,,124.898,41.6326,1622,146.57,48.857,1.48
Hospitalizations,Broome,2004-2006,AgeGroup,35+,Total,,119.148,39.7159,1547,139.39,46.465,1.411
Hospitalizations,Broome,2005-2007,AgeGroup,35+,Total,,114.398,38.1326,1486,133.64,44.546,1.357
Hospitalizations,Broome,2006-2008,AgeGroup,35+,Total,,111.816,37.2718,1455,130.73,43.577,1.328
Hospitalizations,Broome,2007-2009,AgeGroup,35+,Total,,107.898,35.9661,1427,128.31,42.77,1.302
Hospitalizations,Broome,2008-2010,AgeGroup,35+,Total,,105.645,35.2151,1420,127.86,42.619,1.296
Hospitalizations,Broome,2009-2011,AgeGroup,35+,Total,,110.804,36.9347,1516,136.97,45.658,1.384
Hospitalizations,Broome,2010-2012,AgeGroup,35+,Total,,115.868,38.6225,1603,145.62,48.541,1.463
Hospitalizations,Broome,2011-2013,AgeGroup,35+,Total,,115.221,38.407,1595,145.88,48.628,1.455
Hospitalizations,Broome,2012-2014,AgeGroup,35+,Total,,103.85,34.6168,1434,131.92,43.972,1.308
Hospitalizations,Broome,2013-2015,AgeGroup,35+,Total,,100.419,33.4732,1363,126.11,42.038,1.245
