County,Year,subgroup1,subgroup_cat1,subgroup2,subgroup_cat2,aaRate10K,count,cRate10K,dailyMean
Albany,2000-2002,AgeGroup,35+,Total,Total,108.794,1851,118.01,1.689
Albany,2001-2003,AgeGroup,35+,Total,Total,101.815,1749,110.65,1.597
Albany,2002-2004,AgeGroup,35+,Total,Total,92.198,1598,100.36,1.458
Albany,2003-2005,AgeGroup,35+,Total,Total,85.739,1501,93.53,1.37
Albany,2004-2006,AgeGroup,35+,Total,Total,80.24,1417,87.68,1.293
Albany,2005-2007,AgeGroup,35+,Total,Total,77.349,1377,84.74,1.258
Albany,2006-2008,AgeGroup,35+,Total,Total,74.021,1326,81.35,1.21
Albany,2007-2009,AgeGroup,35+,Total,Total,71.056,1291,79.07,1.178
Albany,2008-2010,AgeGroup,35+,Total,Total,72.75,1342,82.08,1.224
Albany,2009-2011,AgeGroup,35+,Total,Total,67.016,1247,76.26,1.139
Albany,2010-2012,AgeGroup,35+,Total,Total,62.592,1163,71.17,1.061
Albany,2011-2013,AgeGroup,35+,Total,Total,59.909,1108,67.85,1.011
Albany,2012-2014,AgeGroup,35+,Total,Total,64.223,1198,73.31,1.093
Albany,2013-2015,AgeGroup,35+,Total,Total,67.236,1273,77.75,1.163
Albany,2014-2016,AgeGroup,35+,Total,Total,69.966,1338,81.54,1.221
Albany,2015-2017,AgeGroup,35+,Total,Total,71.554,1385,84.22,1.264
Albany,2016-2018,AgeGroup,35+,Total,Total,71.5,1391,84.44,1.269
Allegany,2000-2002,AgeGroup,35+,Total,Total,150.182,416,166.15,0.38
Allegany,2001-2003,AgeGroup,35+,Total,Total,143.882,399,158.76,0.364
Allegany,2002-2004,AgeGroup,35+,Total,Total,148.335,414,163.89,0.378
Allegany,2003-2005,AgeGroup,35+,Total,Total,130.266,366,144.28,0.334
Allegany,2004-2006,AgeGroup,35+,Total,Total,128.638,362,142.13,0.33
Allegany,2005-2007,AgeGroup,35+,Total,Total,124.635,353,138.3,0.322
Allegany,2006-2008,AgeGroup,35+,Total,Total,145.187,418,163.39,0.381
Allegany,2007-2009,AgeGroup,35+,Total,Total,141.084,409,159.61,0.373
Allegany,2008-2010,AgeGroup,35+,Total,Total,146.131,427,166.11,0.39
Allegany,2009-2011,AgeGroup,35+,Total,Total,120.558,355,137.82,0.324
Allegany,2010-2012,AgeGroup,35+,Total,Total,119.675,353,136.95,0.322
Allegany,2011-2013,AgeGroup,35+,Total,Total,104.695,315,122.36,0.287
Allegany,2012-2014,AgeGroup,35+,Total,Total,110.725,333,129.54,0.304
Allegany,2013-2015,AgeGroup,35+,Total,Total,102.428,310,120.79,0.283
Allegany,2014-2016,AgeGroup,35+,Total,Total,99.639,303,118.47,0.276
Allegany,2015-2017,AgeGroup,35+,Total,Total,99.332,303,118.86,0.276
Allegany,2016-2018,AgeGroup,35+,Total,Total,95.151,296,116.28,0.27
Bronx,2000-2002,AgeGroup,35+,Total,Total,132.328,7549,126.15,6.888
Bronx,2001-2003,AgeGroup,35+,Total,Total,136.871,7897,129.88,7.212
Bronx,2002-2004,AgeGroup,35+,Total,Total,138.603,8089,131.43,7.38
Bronx,2003-2005,AgeGroup,35+,Total,Total,132.513,7807,125.74,7.123
Bronx,2004-2006,AgeGroup,35+,Total,Total,121.408,7230,115.72,6.597
Bronx,2005-2007,AgeGroup,35+,Total,Total,112.157,6767,107.59,6.18
Bronx,2006-2008,AgeGroup,35+,Total,Total,108.04,6623,104.53,6.043
Bronx,2007-2009,AgeGroup,35+,Total,Total,103.81,6470,101.2,5.903
Bronx,2008-2010,AgeGroup,35+,Total,Total,97.605,6193,95.87,5.651
Bronx,2009-2011,AgeGroup,35+,Total,Total,93.07,6011,92.04,5.489
Bronx,2010-2012,AgeGroup,35+,Total,Total,87.84,5806,87.85,5.297
Bronx,2011-2013,AgeGroup,35+,Total,Total,83.552,5641,84.38,5.147
Bronx,2012-2014,AgeGroup,35+,Total,Total,76.677,5308,78.46,4.843
Bronx,2013-2015,AgeGroup,35+,Total,Total,71.675,5081,74.22,4.64
Bronx,2014-2016,AgeGroup,35+,Total,Total,69.576,5043,72.85,4.601
Bronx,2015-2017,AgeGroup,35+,Total,Total,69.753,5147,73.68,4.696
Bronx,2016-2018,AgeGroup,35+,Total,Total,70.295,5283,75.2,4.82
Broome,2000-2002,AgeGroup,35+,Total,Total,148.715,1877,170.67,1.713
Broome,2001-2003,AgeGroup,35+,Total,Total,136.618,1740,157.78,1.589
Broome,2002-2004,AgeGroup,35+,Total,Total,128.715,1657,149.94,1.512
Broome,2003-2005,AgeGroup,35+,Total,Total,124.898,1622,146.57,1.48
Broome,2004-2006,AgeGroup,35+,Total,Total,119.148,1547,139.39,1.411
Broome,2005-2007,AgeGroup,35+,Total,Total,114.398,1486,133.64,1.357
Broome,2006-2008,AgeGroup,35+,Total,Total,111.816,1455,130.73,1.328
Broome,2007-2009,AgeGroup,35+,Total,Total,107.898,1427,128.31,1.302
Broome,2008-2010,AgeGroup,35+,Total,Total,105.645,1420,127.86,1.296
Broome,2009-2011,AgeGroup,35+,Total,Total,110.804,1516,136.97,1.384
Broome,2010-2012,AgeGroup,35+,Total,Total,115.868,1603,145.62,1.463
Broome,2011-2013,AgeGroup,35+,Total,Total,115.221,1595,145.88,1.455
Broome,2012-2014,AgeGroup,35+,Total,Total,103.85,1434,131.92,1.308
Broome,2013-2015,AgeGroup,35+,Total,Total,100.419,1363,126.11,1.245
Broome,2014-2016,AgeGroup,35+,Total,Total,102.121,1368,127.24,1.248
Broome,2015-2017,AgeGroup,35+,Total,Total,107.983,1442,134.85,1.316
Broome,2016-2018,AgeGroup,35+,Total,Total,108.535,1457,136.97,1.329
Cattaraugus,2000-2002,AgeGroup,35+,Total,Total,163.428,789,175.42,0.72
Cattaraugus,2001-2003,AgeGroup,35+,Total,Total,167.532,813,180.11,0.742
Cattaraugus,2002-2004,AgeGroup,35+,Total,Total,150.224,732,161.73,0.668
Cattaraugus,2003-2005,AgeGroup,35+,Total,Total,144.768,709,156.52,0.647
Cattaraugus,2004-2006,AgeGroup,35+,Total,Total,123.905,608,134.41,0.555
Cattaraugus,2005-2007,AgeGroup,35+,Total,Total,117.929,581,128.52,0.531
Cattaraugus,2006-2008,AgeGroup,35+,Total,Total,129.44,648,143.32,0.591
Cattaraugus,2007-2009,AgeGroup,35+,Total,Total,132.4,678,149.94,0.619
Cattaraugus,2008-2010,AgeGroup,35+,Total,Total,140.372,727,160.89,0.663
Cattaraugus,2009-2011,AgeGroup,35+,Total,Total,121.821,627,139.04,0.573
Cattaraugus,2010-2012,AgeGroup,35+,Total,Total,117.739,605,134.42,0.552
Cattaraugus,2011-2013,AgeGroup,35+,Total,Total,109.945,562,125.11,0.513
Cattaraugus,2012-2014,AgeGroup,35+,Total,Total,110.347,566,126.19,0.516
Cattaraugus,2013-2015,AgeGroup,35+,Total,Total,105.691,546,121.99,0.499
